CrimeCode;CrimeDescription
231;ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
440;THEFT PLAIN - PETTY ($950 & UNDER)
753;DISCHARGE FIREARMS/SHOTS FIRED
522;VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS
954;CONTRIBUTING
761;BRANDISH WEAPON
341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
623;BATTERY POLICE (SIMPLE)
347;GRAND THEFT / INSURANCE FRAUD
662;BUNCO, GRAND THEFT
928;THREATENING PHONE CALLS/LETTERS
450;THEFT FROM PERSON - ATTEMPT
812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
434;FALSE IMPRISONMENT
452;PICKPOCKET, ATTEMPT
888;TRESPASSING
745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)
762;LEWD CONDUCT
421;THEFT FROM MOTOR VEHICLE - ATTEMPT
439;FALSE POLICE REPORT
487;BOAT - STOLEN
926;TRAIN WRECKING
350;THEFT, PERSON
944;CONSPIRACY
763;STALKING
651;DOCUMENT WORTHLESS ($200.01 & OVER)
951;DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER
890;FAILURE TO YIELD
903;CONTEMPT OF COURT
235;CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
220;ATTEMPTED ROBBERY
822;HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
624;BATTERY - SIMPLE ASSAULT
451;PURSE SNATCHING - ATTEMPT
510;VEHICLE - STOLEN
956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD
946;OTHER MISCELLANEOUS CRIME
251;SHOTS FIRED AT INHABITED DWELLING
932;PEEPING TOM
654;CREDIT CARDS, FRAUD USE ($950 & UNDER
922;CHILD STEALING
